,Citation Number,Date Issued,Time Issued,Location,District,Cited Person Sex,Cited Person Race,Cited Person Age,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
1036,    C9257,2018-08-25 00:45:00,2018-08-25 00:45:00,Unknown,Unknown,M,B,20,14.09.030,NOISE VIOLATION,24,F,W,3,2018
1037,    C9258,2018-08-25 01:18:00,2018-08-25 01:18:00,1280 N COLLEGE AVE; APT 306,LB519,M,W,19,14.09.030,NOISE VIOLATION,24,F,W,3,2018
1038,    C9247,2018-08-25 15:55:00,2018-08-25 15:55:00,E 4TH ST & S INDIANA AVE,LIU14,M,W,17,9-21-8-32,DISREGARDING STOP SIGN,26,M,B,3,2018
1039,    C9248,2018-08-26 15:27:00,2018-08-26 15:27:00,1719 N COLLEGE AVE,LB512,M,W,27,9-21-8-9,WRONG WAY ON ONE WAY,25,M,W,3,2018
1040,    C9251,2018-08-26 23:43:00,2018-08-26 23:43:00,S WALNUT ST & E WILSON ST,LB411,F,W,41,9-21-8-32,DISREGARDING STOP SIGN,25,M,W,3,2018
1041,    C9240,2018-08-27 12:50:00,2018-08-27 12:50:00,S WALNUT ST & E HILLSIDE DR,LB421,M,B,20,9-24-1-1,"LICENSES, CLASSES OF",25,M,W,3,2018
1042,    C9249,2018-08-27 14:26:00,2018-08-27 14:26:00,N COLLEGE AVE & W STATE ROAD 45 46 BYPASS,LB512,M,W,61,9-19-6-6,NO BRAKE LIGHTS/TURN SIGNALS,26,M,W,3,2018
1043,    C9241,2018-08-27 23:20:00,2018-08-27 23:20:00,S ROGERS ST & W HILLSIDE DR,LB412,F,W,45,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2018
1044,    C9242,2018-08-27 23:20:00,2018-08-27 23:20:00,S ROGERS ST & W HILLSIDE DR,LB412,F,W,45,9-18-2-27,FALSE REGISTRATION,37,M,W,3,2018
1045,    C9243,2018-08-28 01:07:00,2018-08-28 01:07:00,S ROGERS ST & W HILLSIDE DR,LB412,U,U,118,9-21-8-51,FAILURE TO DIM,37,M,W,3,2018
1046,    C9243,2018-08-28 01:07:00,2018-08-28 01:07:00,S ROGERS ST & W HILLSIDE DR,LB412,U,U,118,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,37,M,W,3,2018
1047,    C9252,2018-08-28 16:03:00,2018-08-28 16:03:00,W 3RD ST & S LIBERTY DR,LB403,M,W,32,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,W,3,2018
1048,    C9246,2018-08-28 16:12:00,2018-08-28 16:12:00,S ROGERS ST & W 2ND ST,LB409,F,W,59,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,F,B,3,2018
1049,    C9244,2018-08-28 17:06:00,2018-08-28 17:06:00,N WALNUT ST & E 14TH ST,LB519,F,W,42,9-21-8-32,DISREGARDING STOP SIGN,29,M,W,3,2018
1050,    C9262,2018-08-28 17:06:00,2018-08-28 17:06:00,N WALNUT ST & E 14TH ST,LB519,F,W,42,9-21-8-32,DISREGARDING STOP SIGN,29,M,W,3,2018
1051,    C9250,2018-08-29 07:46:00,2018-08-29 07:46:00,S STATE ROAD 37 RAMP & W 3RD ST,LB524,F,W,28,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,53,F,W,3,2018
1052,    C9253,2018-08-29 09:17:00,2018-08-29 09:17:00,E MERCEDES DR & S ALLENDALE DR,LB330,M,W,45,9-24-1-1,"LICENSES, CLASSES OF",31,M,W,3,2018
1053,    C9261,2018-08-29 14:56:00,2018-08-29 14:56:00,STRATUM WAY & COVENANTER DR,LB310,F,U,28,9-24-19-1,DRIVING WHILE SUSPENDED,23,F,W,3,2018
1054,    C9260,2018-08-29 23:42:00,2018-08-29 23:42:00,S ROGERS ST & W HILLSIDE DR,LB412,M,B,55,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2018
1055,    C9082,2018-08-30 00:03:00,2018-08-30 00:03:00,S COLLEGE AVE & W 3RD ST,LB103,M,U,25,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,28,F,A,3,2018
1056,    C9259,2018-08-30 02:43:00,2018-08-30 02:43:00,S MADISON ST & W COOLIDGE DR,LB423,F,W,30,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2018
1057,    C9280,2018-08-30 20:53:00,2018-08-30 20:53:00,S CURRY PIKE & W 3RD ST,LB402,F,A,23,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1058,    C9281,2018-08-30 23:25:00,2018-08-30 23:25:00,S INDIANA AVE & E KIRKWOOD AVE,LIU14,M,W,22,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,3,2018
1059,    C9282,2018-08-31 00:41:00,2018-08-31 00:41:00,W 3RD ST & S GATES DR,LB403,M,W,48,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,W,3,2018
1060,    C9282,2018-08-31 00:41:00,2018-08-31 00:41:00,W 3RD ST & S GATES DR,LB403,M,W,48,9-18-2-27,FALSE REGISTRATION,25,M,W,3,2018
1061,    C9279,2018-08-31 01:02:00,2018-08-31 01:02:00,S PARK SQUARE DR & W BELLE AVE,LMS28,M,B,22,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2018
1062,    C9278,2018-08-31 13:46:00,2018-08-31 13:46:00,N WALNUT ST & W 11TH ST,LB213,M,L,38,9-24-1-1,"LICENSES, CLASSES OF",53,F,W,3,2018
1063,    C9278,2018-08-31 13:46:00,2018-08-31 13:46:00,N WALNUT ST & W 11TH ST,LB213,M,L,38,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,53,F,W,3,2018
1064,    C9277,2018-09-01 00:11:00,2018-09-01 00:11:00,E MILLER DR & S WALNUT ST,LB421,M,W,26,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,3,2018
1065,    C9277,2018-09-01 00:11:00,2018-09-01 00:11:00,E MILLER DR & S WALNUT ST,LB421,M,W,26,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,28,M,W,3,2018
1066,    C9277,2018-09-01 00:11:00,2018-09-01 00:11:00,E MILLER DR & S WALNUT ST,LB421,M,W,26,9-18-2-27,FALSE REGISTRATION,28,M,W,3,2018
1067,    C9276,2018-09-01 14:20:00,2018-09-01 14:20:00,N ROGERS ST & W 7TH ST,LB101,F,W,63,9-21-8-32,DISREGARDING STOP SIGN,24,M,B,3,2018
1068,    C9274,2018-09-01 23:57:00,2018-09-01 23:57:00,E COMPTON BLVD & S STATE ROAD 446,LB308,F,W,55,9-30-5-1,OWI > .08% AND < .15%,26,M,W,3,2018
1069,    C9283,2018-09-02 01:03:00,2018-09-02 01:03:00,211 S KIMBLE DR; APT B27,LB523,M,B,54,14.09.030,NOISE VIOLATION,24,F,W,3,2018
1070,    C9284,2018-09-02 16:00:00,2018-09-02 16:00:00,S WOODSCREST DR & E 2ND ST,LB304,F,W,36,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,23,F,W,3,2018
1071,    C9285,2018-09-02 16:08:00,2018-09-02 16:08:00,S COLLEGE MALL RD & BUICK CADILLAC,LB305,M,W,25,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,3,2018
1072,    C9288,2018-09-03 09:42:00,2018-09-03 09:42:00,S WYNNEDALE DR & W 3RD ST,LB404,M,W,45,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,53,F,W,3,2018
1073,    C9289,2018-09-03 19:43:00,2018-09-03 19:43:00,S COLLEGE MALL RD & E COVENANTER DR,LB310,F,W,59,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,37,F,W,3,2018
1074,    C9292,2018-09-03 23:30:00,2018-09-03 23:30:00,1201 W ALLEN ST,LB413,M,W,36,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,37,M,W,3,2018
1075,    C9293,2018-09-03 23:30:00,2018-09-03 23:30:00,1201 W ALLEN ST,LB413,M,W,36,9-18-2-27,FALSE REGISTRATION,37,M,W,3,2018
1076,    C9299,2018-09-04 08:57:00,2018-09-04 08:57:00,S WALNUT ST & E WINSLOW RD,LB422,F,W,44,9-19-3-9,BRAKES INADEQUATE,53,F,W,3,2018
1077,    C9298,2018-09-04 09:04:00,2018-09-04 09:04:00,S WALNUT ST & E WINSLOW RD,LB422,M,U,44,9-24-1-1,"LICENSES, CLASSES OF",53,F,W,3,2018
1078,    C9301,2018-09-04 15:49:00,2018-09-04 15:49:00,208 E 2ND ST,LB301,M,L,25,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,31,M,W,3,2018
1079,    C9297,2018-09-04 22:36:00,2018-09-04 22:36:00,E 3RD ST & S SMITH RD,LB306,M,W,42,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1080,    C9300,2018-09-05 02:02:00,2018-09-05 02:02:00,S STATE ROAD 37 RAMP & W 3RD ST,LB524,M,W,26,9-18-2-7,EXPIRED LICENSE PLATES,37,M,W,3,2018
1081,    C9300,2018-09-05 02:02:00,2018-09-05 02:02:00,S STATE ROAD 37 RAMP & W 3RD ST,LB524,M,W,26,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2018
1082,    C9295,2018-09-05 08:31:00,2018-09-05 08:31:00,E 3RD ST & S JEFFERSON ST,LB304,F,U,26,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,25,M,W,3,2018
1083,    C9302,2018-09-05 08:37:00,2018-09-05 08:37:00,1500 N STATE ROAD 37 45,LB514,M,L,46,9-24-1-1,"LICENSES, CLASSES OF",53,F,W,3,2018
1084,    C9296,2018-09-05 09:27:00,2018-09-05 09:27:00,S COLLEGE MALL RD & E 3RD ST,LB221,M,A,25,9-18-2-7,EXPIRED LICENSE PLATES,25,M,W,3,2018
1085,    C9305,2018-09-05 23:10:00,2018-09-05 23:10:00,W KIRKWOOD AVE & N PINE ST,LB521,M,W,19,9-18-2-7,EXPIRED LICENSE PLATES,38,M,W,3,2018
1086,    C9304,2018-09-06 03:05:00,2018-09-06 03:05:00,N WALNUT ST & E 7TH ST,LB102,M,W,25,9-21-8-33,"FAILURE TO YIELD, PEDESTRIAN",22,M,W,3,2018
1087,    C9303,2018-09-06 06:08:00,2018-09-06 06:08:00,S WALNUT ST & S WALNUT STREET PIKE,LB422,F,W,44,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,25,M,W,3,2018
1088,    C9307,2018-09-06 20:00:00,2018-09-06 20:00:00,S PATTERSON DR & W ALLEN ST,LB412,M,L,31,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,24,F,W,3,2018
1089,    C9309,2018-09-07 00:50:00,2018-09-07 00:50:00,1150 S CLARIZZ BLVD,LB310,M,L,22,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1090,    C9310,2018-09-07 06:35:00,2018-09-07 06:35:00,S HIGH ST & E 3RD ST,LB303,F,B,20,9-21-5-2,SPEED MAXIMUM,25,M,W,3,2018
1091,    C9311,2018-09-07 23:15:00,2018-09-07 23:15:00,407 S WALNUT ST,LB104,M,W,21,14.09.030,NOISE VIOLATION,30,M,W,3,2018
1092,    C9312,2018-09-08 00:15:00,2018-09-08 00:15:00,349 S GRANT ST,LB104,M,B,21,14.09.030,NOISE VIOLATION,30,M,W,3,2018
1093,    C9313,2018-09-08 03:09:00,2018-09-08 03:09:00,2539 E EASTGATE LN; APT 104,LB222,M,W,19,14.09.030,NOISE VIOLATION,30,M,W,3,2018
1094,    C9319,2018-09-08 20:00:00,2018-09-08 20:00:00,S WASHINGTON ST & E 3RD ST,LB104,M,W,30,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,26,M,B,3,2018
1095,    C9314,2018-09-08 23:37:00,2018-09-08 23:37:00,321 E 14TH ST; APT B3,LB213,M,W,19,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1096,    C9315,2018-09-09 00:51:00,2018-09-09 00:51:00,123 N ROOSEVELT ST,LB222,F,W,21,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1097,    C9316,2018-09-09 22:37:00,2018-09-09 22:37:00,W KIRKWOOD AVE & N ADAMS ST,LB521,M,B,27,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,W,3,2018
1098,    C9317,2018-09-09 23:48:00,2018-09-09 23:48:00,S WALNUT ST & E GRIMES LN,LB314,F,W,46,9-18-2-7,EXPIRED LICENSE PLATES,22,M,W,3,2018
1099,    C9321,2018-09-11 01:34:00,2018-09-11 01:34:00,S JACKSON ST & W KIRKWOOD AVE,LB408,F,W,58,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1100,    C9322,2018-09-11 03:59:00,2018-09-11 03:59:00,S WALNUT ST & W COUNTRY CLUB DR,LB422,F,W,20,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1101,    C9323,2018-09-11 17:45:00,2018-09-11 17:45:00,Unknown,Unknown,M,B,23,9-24-18-1,DRIVING WITHOUT A LICENSE,30,M,W,3,2018
1102,    C9324,2018-09-11 23:42:00,2018-09-11 23:42:00,S ROGERS ST & W PATTERSON DR,LB412,M,W,28,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1103,    C9327,2018-09-12 09:22:00,2018-09-12 09:22:00,S WESTERN DR & W 3RD ST,LB402,M,U,31,9-24-19-1,DRIVING WHILE SUSPENDED,48,M,W,3,2018
1104,    C9325,2018-09-12 11:43:00,2018-09-12 11:43:00,S MADISON ST & W 3RD ST,LB103,F,W,46,9-24-19-1,DRIVING WHILE SUSPENDED,48,M,W,3,2018
1105,    C9331,2018-09-13 09:22:00,2018-09-13 09:22:00,N ROGERS ST & W 7TH ST,LB101,M,W,28,9-24-1-1,"LICENSES, CLASSES OF",25,M,W,3,2018
1106,    C9358,2018-09-13 15:42:00,2018-09-13 15:42:00,N COLLEGE AVE & W STATE ROAD 45 46 BYPASS,LB512,F,W,53,9-21-5-2,SPEED MAXIMUM,26,M,B,3,2018
1107,    C9359,2018-09-13 16:08:00,2018-09-13 16:08:00,N WALNUT ST & E 17TH ST,LB519,F,U,26,9-21-8-9,WRONG WAY ON ONE WAY,26,M,B,3,2018
1108,    C9360,2018-09-13 23:56:00,2018-09-13 23:56:00,2611 E 2ND ST,LB304,M,B,19,35-42-2-3,PROVOCATION,25,M,W,3,2018
1109,    C9364,2018-09-14 00:00:01,2018-09-14 00:00:01,E 2ND ST & S LINCOLN ST,LB301,M,B,20,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2018
1110,    C9361,2018-09-14 04:04:00,2018-09-14 04:04:00,W VERNAL SR 37 OVERPASS; W VERNAL PIKE AND SR 37 OVERPASS,LB516,M,U,23,9-21-5-11,SPEED LIMIT WORKSITES,37,M,W,3,2018
1111,    C9362,2018-09-14 04:04:00,2018-09-14 04:04:00,W VERNAL SR 37 OVERPASS; W VERNAL PIKE AND SR 37 OVERPASS,LB516,M,U,23,9-18-2-7,EXPIRED LICENSE PLATES,37,M,W,3,2018
1112,    C9363,2018-09-14 04:04:00,2018-09-14 04:04:00,W VERNAL SR 37 OVERPASS; W VERNAL PIKE AND SR 37 OVERPASS,LB516,M,U,23,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,37,M,W,3,2018
1113,    C9383,2018-09-14 18:08:00,2018-09-14 18:08:00,S WALNUT STREET PIKE & E WINSLOW RD,LB328,F,W,36,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,30,M,W,3,2018
1114,    C9397,2018-09-14 22:32:00,2018-09-14 22:32:00,1307 N LINCOLN ST,LB212,M,W,20,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1115,    C9394,2018-09-14 23:30:00,2018-09-14 23:30:00,S COLLEGE MALL RD & E 3RD ST,LB221,M,A,22,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,W,3,2018
1116,    C9398,2018-09-14 23:47:00,2018-09-14 23:47:00,515 S FESS AVE,LB302,M,W,20,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1117,    C9393,2018-09-15 00:16:00,2018-09-15 00:16:00,S PATTERSON DR & W 3RD ST,LB406,F,W,48,9-18-2-27,FALSE REGISTRATION,25,M,W,3,2018
1118,    C9376,2018-09-15 02:35:00,2018-09-15 02:35:00,2300 N WALNUT ST; MCDONALDS NORTH,LB209,M,W,24,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2018
1119,    C9381,2018-09-15 08:23:00,2018-09-15 08:23:00,N COLLEGE AVE & W 8TH ST,LB101,M,W,42,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,53,F,W,3,2018
1120,    C9386,2018-09-15 12:22:00,2018-09-15 12:22:00,S HENDERSON ST & E HILLSIDE DR,LB314,M,B,29,9-19-11-2,CHILD RESTRAINT UNDER 3 YEARS,25,M,W,3,2018
1121,    C9386,2018-09-15 12:22:00,2018-09-15 12:22:00,S HENDERSON ST & E HILLSIDE DR,LB314,M,B,29,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,W,3,2018
1122,    C9386,2018-09-15 12:22:00,2018-09-15 12:22:00,S HENDERSON ST & E HILLSIDE DR,LB314,M,B,29,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1123,    C9377,2018-09-15 22:15:00,2018-09-15 22:15:00,S WALNUT ST & E 4TH ST,LB103,M,W,33,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,25,M,W,3,2018
1124,    C9378,2018-09-15 22:15:00,2018-09-15 22:15:00,S WALNUT ST & E 4TH ST,LB103,M,W,33,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1125,    C9379,2018-09-16 01:09:00,2018-09-16 01:09:00,W TAPP RD & INTERSTATE 69 RAMP,LMS27,M,W,23,9-21-5-6,EXCEEDING POSTED SPEED LIMIT,37,M,W,3,2018
1126,    C9388,2018-09-16 18:18:00,2018-09-16 18:18:00,N COLLEGE AVE & W 10TH ST,LB101,M,W,65,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,29,M,W,3,2018
1127,    C9385,2018-09-16 18:43:00,2018-09-16 18:43:00,W BLOOMFIELD RD & S STATE ROAD 37 RAMP,LB417,F,W,39,9-21-5-2,SPEED MAXIMUM,26,M,B,3,2018
1128,    C9390,2018-09-16 22:48:00,2018-09-16 22:48:00,E GRAHAM PL & S HENDERSON ST,LB327,F,W,61,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1129,    C9391,2018-09-17 09:04:00,2018-09-17 09:04:00,W 3RD ST & S LANDMARK AVE,LB405,F,B,27,9-24-19-1,DRIVING WHILE SUSPENDED,44,M,W,3,2018
1130,    C9396,2018-09-17 18:58:00,2018-09-17 18:58:00,S WASHINGTON ST & E KIRKWOOD AVE,LB104,M,W,27,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,B,3,2018
1131,    C9396,2018-09-17 18:58:00,2018-09-17 18:58:00,S WASHINGTON ST & E KIRKWOOD AVE,LB104,M,W,27,9-21-8-9,WRONG WAY ON ONE WAY,26,M,B,3,2018
1132,    C9427,2018-09-18 17:12:00,2018-09-18 17:12:00,N COLLEGE AVE & W STATE ROAD 45 46 BYPASS,LB512,F,W,20,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,3,2018
1133,    C9428,2018-09-18 21:03:00,2018-09-18 21:03:00,W 3RD ST & S PATTERSON DR,LB407,M,W,25,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,F,B,3,2018
1134,    C9430,2018-09-18 22:55:00,2018-09-18 22:55:00,S ROGERS ST & W PATTERSON DR,LB412,M,U,30,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,28,F,A,3,2018
1135,    C9431,2018-09-19 22:20:00,2018-09-19 22:20:00,2400 S WALNUT ST; TACO BELL SOUTH,LB422,F,U,22,9-18-2-7,EXPIRED LICENSE PLATES,39,M,W,3,2018
1136,    C8043,2018-09-20 05:00:04,2018-09-20 05:00:04,2500 S ROCKPORT RD,LB424,M,W,20,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,25,M,W,3,2018
1137,    C9440,2018-09-20 07:23:00,2018-09-20 07:23:00,E STATE ROAD 45 46 BYPASS & N DUNN ST,LB210,M,W,34,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,30,M,W,3,2018
1138,    C9441,2018-09-21 02:00:00,2018-09-21 02:00:00,W 3RD SR 37 OVERPASS; W 3RD ST AND SR 37 OVERPASS,LB404,F,W,26,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1139,    C9443,2018-09-21 06:48:00,2018-09-21 06:48:00,W 2ND ST & S PATTERSON DR,LB406,M,B,27,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1140,    C9443,2018-09-21 06:48:00,2018-09-21 06:48:00,W 2ND ST & S PATTERSON DR,LB406,M,B,27,9-24-1-1,"LICENSES, CLASSES OF",25,M,W,3,2018
1141,    C9453,2018-09-21 17:57:00,2018-09-21 17:57:00,E 3RD ST & S KINGSTON DR,LB305,M,W,74,9-21-10-2,PASSENGER POSITION,29,M,W,3,2018
1142,    C9452,2018-09-21 18:04:00,2018-09-21 18:04:00,S WALNUT ST & E BURKS DR,LB336,F,W,54,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,37,F,W,3,2018
1143,    C9446,2018-09-21 20:40:00,2018-09-21 20:40:00,321 E 14TH ST; APT A4,LB213,M,U,20,14.09.030,NOISE VIOLATION,30,M,W,3,2018
1144,    C9455,2018-09-21 22:33:00,2018-09-21 22:33:00,S HENDERSON ST & E NORTH DR,LB315,M,W,19,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1145,    C9445,2018-09-21 23:50:00,2018-09-21 23:50:00,422 E 11TH ST; APT 16,LB213,M,W,21,14.09.030,NOISE VIOLATION,30,M,W,3,2018
1146,    C9451,2018-09-22 16:38:00,2018-09-22 16:38:00,S HENDERSON ST & E ATWATER AVE,LIU14,F,W,28,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,29,M,W,3,2018
1147,    C9447,2018-09-22 23:11:00,2018-09-22 23:11:00,S WALNUT ST & E WILSON ST,LB411,F,W,26,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,31,M,W,3,2018
1148,    C9456,2018-09-23 00:40:00,2018-09-23 00:40:00,1106 N DUNN ST; APT B,LB214,M,U,20,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1149,    C9457,2018-09-23 01:37:00,2018-09-23 01:37:00,2607 N WALNUT ST; APT 1102,LB511,F,B,20,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1150,    C9474,2018-09-23 02:40:00,2018-09-23 02:40:00,534 S RONSON ST; APT 4202,LB406,M,A,21,14.09.030,NOISE VIOLATION,26,M,B,3,2018
1151,    C9454,2018-09-23 16:48:00,2018-09-23 16:48:00,S ROGERS ST & W 1ST ST,LB409,M,B,26,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1152,    C9448,2018-09-24 02:00:00,2018-09-24 02:00:00,N WALNUT ST & E 17TH ST,LB519,M,W,34,9-21-8-24,"UNSAFE MOVEMENT,LANE TO LANE",31,M,W,3,2018
1153,    C9450,2018-09-24 02:07:00,2018-09-24 02:07:00,1300 W STATE ROAD 45 46 BYPASS,LB509,F,W,19,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2018
1154,    C9450,2018-09-24 02:07:00,2018-09-24 02:07:00,1300 W STATE ROAD 45 46 BYPASS,LB509,F,W,19,9-18-2-7,EXPIRED LICENSE PLATES,37,M,W,3,2018
1155,    C9475,2018-09-24 16:10:00,2018-09-24 16:10:00,705 W COOLIDGE DR; BROADVIEW LEARNING CENTER,LB423,M,A,39,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,30,M,W,3,2018
1156,    C9472,2018-09-24 17:29:00,2018-09-24 17:29:00,100 W 6TH ST,LB101,F,U,19,9-21-8-32,DISREGARDING STOP SIGN,26,M,B,3,2018
1157,    C9473,2018-09-24 22:00:00,2018-09-24 22:00:00,N WALNUT ST & E 10TH ST,LB102,M,W,52,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,25,M,W,3,2018
1158,    C9476,2018-09-25 01:00:00,2018-09-25 01:00:00,S WASHINGTON ST & E 3RD ST,LB104,F,W,29,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,3,2018
1159,    C9477,2018-09-25 01:00:00,2018-09-25 01:00:00,S WASHINGTON ST & E 3RD ST,LB104,F,W,29,9-18-2-27,FALSE REGISTRATION,25,M,W,3,2018
1160,    C9466,2018-09-25 01:26:00,2018-09-25 01:26:00,S PATTERSON DR & W 3RD ST,LB406,M,W,30,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,37,M,W,3,2018
1161,    C9469,2018-09-25 01:26:00,2018-09-25 01:26:00,S PATTERSON DR & W 3RD ST,LB406,M,W,30,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2018
1162,    C9471,2018-09-25 01:26:00,2018-09-25 01:26:00,S PATTERSON DR & W 3RD ST,LB406,M,W,30,9-18-2-27,FALSE REGISTRATION,37,M,W,3,2018
1163,    C9478,2018-09-26 09:08:00,2018-09-26 09:08:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,F,W,20,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,31,M,W,3,2018
1164,    C9478,2018-09-26 09:08:00,2018-09-26 09:08:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,F,W,20,9-21-8-59,TEXTING WHILE DRIVING,31,M,W,3,2018
1165,    C9479,2018-09-26 12:31:00,2018-09-26 12:31:00,S STATE ROAD 37 RAMP,LB523,F,U,21,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,53,F,W,3,2018
1166,    C9306,2018-09-26 17:25:00,2018-09-26 17:25:00,S WOODSCREST DR & E 3RD ST,LB304,M,W,20,9-21-8-6,PASSING IMPROPER ON THE RIGHT,51,M,W,3,2018
1167,    C9306,2018-09-26 17:25:00,2018-09-26 17:25:00,S WOODSCREST DR & E 3RD ST,LB304,M,W,20,9-24-19-1,DRIVING WHILE SUSPENDED,51,M,W,3,2018
1168,    C9306,2018-09-26 17:25:00,2018-09-26 17:25:00,S WOODSCREST DR & E 3RD ST,LB304,M,W,20,9-24-1-5,MOTORCYCLE LICENSE,51,M,W,3,2018
1169,    C9480,2018-09-26 21:07:00,2018-09-26 21:07:00,S HENDERSON ST & E 1ST ST,LB302,M,W,21,9-21-8-9,WRONG WAY ON ONE WAY,30,M,W,3,2018
1170,    C9481,2018-09-26 21:07:00,2018-09-26 21:07:00,S HENDERSON ST & E 1ST ST,LB302,M,W,21,35-45-3-2,LITTERING,30,M,W,3,2018
1171,    C9482,2018-09-27 00:02:00,2018-09-27 00:02:00,W STATE ROAD 45 46 BYPASS & N KINSER PIKE,LB511,M,W,27,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,38,M,W,3,2018
1172,    C9575,2018-09-27 03:15:00,2018-09-27 03:15:00,S ROGERS ST & S ROCKPORT RD,LB420,M,W,32,9-18-2-7,EXPIRED LICENSE PLATES,32,M,W,3,2018
