Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year
,III,Release to Medical,Friday,,,,Takedown (II and III),,,,,,,,0000-0559,Welfare Check,WELFARE CHECK - PRIORITY,,,August,,No weapon (unarmed),777121,East Precinct,2.936995814,,878538656,147314,White,Female,Yes,32.676721842,878538656147314,Aggressive,,,,,,,,Dispatched,,,,2019
,III,Release to Medical,Friday,,,,Takedown (II and III),Control against Resistance,,,,,,,1800-2359,Assist,MEDICAL ASSIST,,,May,,No weapon (unarmed),843231,Central Precinct,1.753188737,,285537390,1935444,Hispanic,Male,No,15.698394216,2855373901935444,Active,Active,,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Friday,,,,Takedown (II and III),Control against Resistance,,,,,,,1800-2359,Assist,MEDICAL ASSIST,,,May,,No weapon (unarmed),853231,Central Precinct,1.753188737,,285537390,1935444,Hispanic,Male,No,15.698394216,2855373901935444,Active,Active,,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Friday,,,,Takedown (II and III),Control against Resistance,,,,,,,1800-2359,Assist,MEDICAL ASSIST,,,May,,No weapon (unarmed),892030,Central Precinct,13.909353120,,285537390,1935444,Hispanic,Male,No,15.698394216,2855373901935444,Active,Active,,,,,,,Dispatched,Yes,Yes,,2019
,III,Release to Medical,Friday,,,,Takedown (II and III),Resisted HC,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,,July,,No weapon (unarmed),598201,North Precinct,1.712060502,,991537937,426197,Hispanic,Male,No,25.813430365,991537937426197,Active,Active,,,,,,,Dispatched,,,,2019
,III,Release to Medical,Friday,,,,Takedown (II and III),Resisted HC,,,,,,,1800-2359,Unwanted Person,UNWANTED PERSON,,,July,,No weapon (unarmed),932241,North Precinct,1.868224886,,991537937,426197,Hispanic,Male,No,25.813430365,991537937426197,Active,Active,,,,,,,Dispatched,,,,2019
,III,Release to Medical,FRI,,,,Aerosol rest.,Aerosol rest.,Aerosol rest.,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),620099,East Precinct,15.040899924,,820518816,239158,Black,Male,No,46.588845129,239158820518816,Active,Active,Active,,,,,,Self-Initiated,,Yes,,2017
,III,Release to Medical,FRI,,,,Box-in VIS,PFA,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),927641,North Precinct,6.564206621,,820518816,239158,Black,Male,No,46.588864155,239158820518816,Active,Active,,,,,,,Self-Initiated,,Yes,,2017
,III,Release to Medical,FRI,,,,Box-in VIS,PFA,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),462388,North Precinct,19.681995814,,820518816,239158,Black,Male,No,46.588845129,239158820518816,Active,Active,,,,,,,Self-Initiated,,Yes,,2017
,III,Release to Medical,FRI,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),949741,North Precinct,4.991590563,,820518816,239158,Black,Male,No,46.588850837,239158820518816,Active,,,,,,,,Self-Initiated,,Yes,,2017
,III,Release to Medical,FRI,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),1100751,North Precinct,6.838160198,,820518816,239158,Black,Male,No,46.588845129,239158820518816,Active,,,,,,,,Self-Initiated,,Yes,,2017
,III,Release to Medical,FRI,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),1098050,North Precinct,12.142294521,,820518816,239158,Black,Male,No,46.588869863,239158820518816,Active,,,,,,,,Self-Initiated,,Yes,,2017
,III,Release to Medical,FRI,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),786720,North Precinct,14.503966895,,820518816,239158,Black,Male,No,46.588898402,239158820518816,Active,,,,,,,,Self-Initiated,,Yes,,2017
,III,Release to Medical,FRI,,,,PFA,Box-in VIS,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,September,,No weapon (unarmed),543500,North Precinct,12.010795282,,820518816,239158,Black,Male,No,46.588877473,239158820518816,Active,Active,,,,,,,Self-Initiated,,Yes,,2017
,III,Arrest-Cited,Saturday,,,,Control Against Resistance,,,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,February,,No weapon (unarmed),949741,North Precinct,7,,116546049,348034,Black,Female,No,54,1.16546e+14,Active,,,,,,,,Self-Initiated,Yes,,,2020
,III,Arrest-Cited,Saturday,,,,Control Against Resistance,Takedown (II and III),,,,,,,0600-1159,Missing Person,"MISSING - PERSON LOST,FOUND,RUNNER",,,January,,No weapon (unarmed),571001,Central Precinct,4,,831545876,1715975,White,Male,No,15,8.31546e+15,Active,Active,,,,,,,Dispatched,,,,2020
,III,Arrest-Cited,Saturday,,,,Control Against Resistance,Takedown (IV),Resisted HC,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,,March,,,801721,East Precinct,5.654617580,,377526401,410830,White,Male,Yes,34.879275114,410830377526401,Active,Active,Active,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Saturday,,,,Aerosol rest.,Aerosol rest.,,,,,,,1800-2359,Behavioral Health,ECIT,Knife / Edged Weapon / Stabbing Instrument,Yes,August,,,637409,TOD,15.446328006,,488538502,254352,Black,Male,No,40.364136225,488538502254352,Active,Active,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2019
,III,Arrest-Felony,Saturday,,,,Box-in VIS,PFA,,,,,,,1200-1759,Restraining Order Violation,RESTRAINING ORDER VIOLATION - COLD,,,April,,No weapon (unarmed),927641,North Precinct,7.141230974,,148526989,440785,Black,Male,No,20.768628234,148526989440785,Active,Active,,,,,,,Dispatched,,,,2018
,III,Arrest-Felony,Saturday,,,,Control against Resistance,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),1020641,Central Precinct,8.253238204,,949538037,4045120,White,Male,Yes,34.653352359,9495380374045120,Aggressive,,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,,,,,,,,0600-1159,Disturbance,DISTURBANCE - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,May,,,341081,Central Precinct,3,Bear Mace,311547200,9595306,Black,Male,Yes,24,3.11547e+15,Active,,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,,,,,,,,0600-1159,Disturbance,DISTURBANCE - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,May,,,430191,Central Precinct,3,Bear mace,311547200,9595306,Black,Male,Yes,24,3.11547e+15,Active,,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Control against Resistance,,,,,,,,0600-1159,TriMet,TRIMET INCIDENT - PRIORITY,,,September,,No weapon (unarmed),690111,East Precinct,2.883314307,,919538767,497018,White,Male,Yes,31.401122527,919538767497018,Active,,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,,,,,,,,0600-1159,TriMet,TRIMET INCIDENT - PRIORITY,,,September,,No weapon (unarmed),1100050,East Precinct,14.025780061,,919538767,497018,White,Male,Yes,31.401122527,919538767497018,Active,,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,January,Needle / Spit / Bodily Fluids,,571001,Central Precinct,4,,333545721,3789151,White,Male,Yes,29,3.33546e+15,Aggressive,,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,January,Needle / Spit / Bodily Fluids,,784021,Central Precinct,4,,333545721,3789151,White,Male,Yes,29,3.33546e+15,Active,,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,January,Needle / Spit / Bodily Fluids,,431191,East Precinct,2,,333545721,3789151,White,Male,Yes,29,3.33546e+15,Active,,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Control against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),495291,Central Precinct,1.867694064,,748539955,4015473,White,Male,No,52.086872146,7485399554015473,Aggressive,,,,,,,,Dispatched,Yes,,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),164861,Central Precinct,5.703310502,,748539955,4015473,White,Male,No,52.086872146,7485399554015473,Active,,,,,,,,Dispatched,Yes,,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),905631,Central Precinct,8.790981735,,748539955,4015473,White,Male,No,52.086872146,7485399554015473,Active,,,,,,,,Dispatched,Yes,,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,,,,,,,,1200-1759,Unwanted Person,UNWANTED PERSON,,,June,,No weapon (unarmed),276171,East Precinct,2.193455099,,403537581,591618,White,Female,Yes,23.393569254,403537581591618,Aggressive,,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,,,,,,,,1800-2359,Collision,ACCIDENT - NON INJURY,,,February,Needle / Spit / Bodily Fluids,,472290,Traffic,12,,726546385,329911,White,Female,No,33,7.26546e+14,Aggressive,,,,,,,,Dispatched,Yes,,,2020
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Control against Resistance,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),606401,Central Precinct,0.447872907,,949538037,4045120,White,Male,Yes,34.653352359,9495380374045120,Aggressive,Aggressive,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Control against Resistance,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),554201,Central Precinct,2.135429985,,949538037,4045120,White,Male,Yes,34.653352359,9495380374045120,Aggressive,Active,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Hobble,,,,,,,0600-1159,TriMet,TRIMET INCIDENT - PRIORITY,,,September,,No weapon (unarmed),166260,East Precinct,12.472355403,,919538767,497018,White,Male,Yes,31.401122527,919538767497018,Active,Active,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,Hobble,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,January,Needle / Spit / Bodily Fluids,,554201,Central Precinct,2,,333545721,3789151,White,Male,Yes,29,3.33546e+15,Aggressive,Active,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Resisted HC,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),175560,Central Precinct,17.995703957,,949538037,4045120,White,Male,Yes,34.653352359,9495380374045120,Active,Active,,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Resisted HC,,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),293271,East Precinct,1.676341324,,543538773,460396,Black,Female,No,29.087300228,543538773460396,Active,Active,,,,,,,Dispatched,Yes,,,2019
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,Strikes/kicks,Strikes/kicks,Strikes/kicks,Takedown (II and III),Resisted HC,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,January,,No weapon (unarmed),774521,East Precinct,10,,801545715,297803,White,Male,No,38,8.01546e+14,Active,Active,Aggressive,Aggressive,Aggressive,Aggressive,,,Dispatched,,Yes,,2020
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,Strikes/kicks,Takedown (II and III),Resisted HC,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,January,,No weapon (unarmed),133261,East Precinct,2,,801545715,297803,White,Male,No,38,8.01546e+14,Active,Aggressive,Aggressive,Aggressive,,,,,Dispatched,,Yes,,2020
,III,Arrest-Felony,Saturday,,,,Control Against Resistance,Takedown (II and III),,,,,,,0000-0559,Welfare Check,WELFARE CHECK - PRIORITY,,,May,,No weapon (unarmed),515991,East Precinct,2.767541857,,377527161,1942743,White,Male,No,29.178500761,3775271611942743,Active,Active,,,,,,,Dispatched,Yes,,,2018
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Takedown (II and III),,,,,,,1800-2359,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),514689,East Precinct,15.676341324,,543538773,460396,Black,Female,No,29.087300228,543538773460396,Active,Active,,,,,,,Dispatched,Yes,,,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Takedown (II and III),Resisted HC,CEW,CEW,,,,0000-0559,Unwanted Person,UNWANTED PERSON,,,June,,,932241,North Precinct,1.830275875,,780537755,4048393,White,Male,No,34.917947108,7805377554048393,Active,Active,Aggressive,Aggressive,Aggressive,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2019
,III,Arrest-Felony,Saturday,,,,Control against Resistance,Takedown (II and III),Resisted HC,Control against Resistance,,,,,1200-1759,Unwanted Person,UNWANTED PERSON,,,June,,No weapon (unarmed),351681,East Precinct,7.697564688,,403537581,591618,White,Female,Yes,23.393569254,403537581591618,Aggressive,Aggressive,Aggressive,Aggressive,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,,,,PFA,Control against Resistance,Takedown (II and III),Resisted HC,,,,,0000-0559,Unwanted Person,UNWANTED PERSON,,,June,,,306271,North Precinct,1.463266743,,780537755,4048393,White,Male,No,34.917947108,7805377554048393,Active,Active,Active,Aggressive,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,2019
,III,Arrest-Felony,Saturday,,,,PIT - VIS,,,,,,,,0000-0559,Collision,ACCIDENT - INJURY,,,November,,,916531,K9,10.400171233,,632539784,1667935,White,Female,No,29.644006849,6325397841667935,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2019
,III,Arrest-Felony,Saturday,,,,PIT - VIS,PFA,,,,,,,1200-1759,Restraining Order Violation,RESTRAINING ORDER VIOLATION - COLD,,,April,,No weapon (unarmed),850631,North Precinct,7.294655632,,148526989,440785,Black,Male,No,20.768628234,148526989440785,Active,Active,,,,,,,Dispatched,,,,2018
,III,Arrest-Felony,Saturday,,,,PIT - VIS,PIT - VIS,,,,,,,0000-0559,Welfare Check,WELFARE CHECK - PRIORITY,,,June,,No weapon (unarmed),552501,East Precinct,11,,755547525,440323,Hispanic,Male,Yes,36,7.55548e+14,Active,Active,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,PIT - VIS,PIT - VIS,Box-in VIS,,,,,,1800-2359,Traffic Stop,TRAFFIC STOP,,,February,,No weapon (unarmed),269171,East Precinct,1.945070396,,445536062,442087,White,Male,Yes,35.114933409,445536062442087,Active,Active,Active,,,,,,Self-Initiated,,,,2019
,III,Arrest-Felony,Saturday,,,,Resisted HC,,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),1056351,East Precinct,1.368036530,,160539869,324256,Black,Male,Yes,38.685844749,160539869324256,Active,,,,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Saturday,,,,Resisted HC,,,,,,,,1800-2359,Collision,ACCIDENT - NON INJURY,,,February,Needle / Spit / Bodily Fluids,,874031,North Precinct,1,,726546385,329911,White,Female,No,33,7.26546e+14,Active,,,,,,,,Dispatched,Yes,,,2020
,III,Arrest-Felony,Saturday,,,,Resisted HC,Control Against Resistance,,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),673111,Central Precinct,2.039726027,,559528923,1080320,White,Male,Yes,24.152054795,5595289231080320,Active,Active,,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Saturday,,,,Resisted HC,Strikes/kicks,Control Against Resistance,,,,,,1800-2359,Collision,ACCIDENT - NON INJURY,,,February,,No weapon (unarmed),856431,North Precinct,0,,726546385,329911,White,Female,No,33,7.26546e+14,Active,Aggressive,Active,,,,,,Dispatched,Yes,,,2020
,III,Arrest-Felony,Saturday,,,,Resisted HC,Takedown (II and III),,,,,,,0000-0559,Assault,ASSAULT - COLD,,,November,,,751121,East Precinct,2.152777778,,151529609,224713,White,Male,No,54.630555556,151529609224713,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2018
,III,Arrest-Felony,Saturday,,,,Resisted HC,Takedown (II and III),,,,,,,0000-0559,Assault,ASSAULT - COLD,,,November,,,777121,East Precinct,2.152777778,,151529609,224713,White,Male,No,54.630555556,151529609224713,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2018
,III,Arrest-Felony,Saturday,,,,Strikes/kicks,Strikes/kicks,,,,,,,0600-1159,Disturbance,DISTURBANCE - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,May,,,673111,Central Precinct,3,Bear mace,311547200,9595306,Black,Male,Yes,24,3.11547e+15,Active,Active,,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Strikes/kicks,Strikes/kicks,Control Against Resistance,,,,,,0600-1159,Disturbance,DISTURBANCE - WITH WEAPON *H,Knife / Edged Weapon / Stabbing Instrument,,May,,,327581,Central Precinct,5,Bear mace,311547200,9595306,Black,Male,Yes,24,3.11547e+15,Active,Active,Active,,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Strikes/kicks,Takedown (II and III),Strikes/kicks,Control Against Resistance,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,January,Needle / Spit / Bodily Fluids,,894731,Central Precinct,7,,333545721,3789151,White,Male,Yes,29,3.33546e+15,Aggressive,Aggressive,Aggressive,Active,,,,,Dispatched,,,,2020
,III,Arrest-Felony,Saturday,,,,Strikes/kicks,Takedown (II and III),Strikes/kicks,Control against Resistance,Aerosol rest.,Control against Resistance,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),196561,Central Precinct,7.295091324,,748539955,4015473,White,Male,No,52.086872146,7485399554015473,Aggressive,Active,Aggressive,Active,Active,Active,,,Dispatched,Yes,,,2019
,III,Arrest-Felony,Saturday,,,,Takedown,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,November,,No weapon (unarmed),276671,Central Precinct,7.696394597,,177519399,269136,Hispanic,Male,Yes,28.504613775,269136177519399,Active,,,,,,,,Self-Initiated,,Yes,,2017
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,November,,No weapon (unarmed),1102751,Central Precinct,5.813888889,,777529445,540972,Hispanic,Male,No,21.394444444,777529445540972,Aggressive,,,,,,,,Dispatched,Yes,Yes,,2018
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),,,,,,,,0000-0559,Traffic Stop,TRAFFIC STOP,,,February,,No weapon (unarmed),630311,East Precinct,2,,931546377,4083639,Black,Male,No,21,9.31546e+15,Active,,,,,,,,Self-Initiated,,Yes,,2020
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),,,,,,,,0600-1159,Subject Stop,SUBJECT STOP - SDC,,,April,,,431191,Central Precinct,2.039530061,,113537039,487205,White,Female,No,25.264301750,113537039487205,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),,,,,,,,1800-2359,DUII,DRIVING UNDER INFLUENCE,,,July,,No weapon (unarmed),213461,East Precinct,3.709062024,,217537950,626039,Black,Male,No,19.355751522,217537950626039,Active,,,,,,,,Dispatched,Yes,Yes,,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),,,,,,,,1800-2359,Subject Stop,PERSON CONTACT (86),,,June,,,932241,North Precinct,1.794360731,,876537586,551253,White,Male,Yes,32.071073059,876537586551253,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Control Against Resistance,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),439190,Central Precinct,11.993143075,,559528923,1080320,White,Male,Yes,24.152047184,5595289231080320,Aggressive,Aggressive,,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Control against Resistance,,,,,,,0600-1159,Subject Stop,SUBJECT STOP - SDC,,,April,,,439190,Central Precinct,12.587475266,,113537039,487205,White,Female,No,25.264301750,113537039487205,Active,Active,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Control Against Resistance,Control Against Resistance,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,September,,No weapon (unarmed),753121,Central Precinct,1.924657534,,559528923,1080320,White,Male,Yes,24.152054795,5595289231080320,Aggressive,Aggressive,Active,,,,,,Dispatched,,Yes,,2018
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Control against Resistance,Resisted HC,,,,,,1200-1759,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),588301,Central Precinct,1.790981735,,748539955,4015473,White,Male,No,52.086872146,7485399554015473,Aggressive,Aggressive,Active,,,,,,Dispatched,Yes,,,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Resisted HC,,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,December,,No weapon (unarmed),1117448,East Precinct,25.187214612,,160539869,324256,Black,Male,Yes,38.685844749,160539869324256,Active,Active,,,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Resisted HC,,,,,,,0600-1159,Theft,THEFT - COLD,,,February,,No weapon (unarmed),311971,Central Precinct,3.708101218,,554536203,171122,White,Male,No,36.883443683,554536203171122,Active,Active,,,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Resisted HC,,,,,,,0600-1159,Theft,THEFT - COLD,,,February,,No weapon (unarmed),327581,Central Precinct,3.995886606,,554536203,171122,White,Male,No,36.883443683,554536203171122,Active,Active,,,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Saturday,,,,Takedown (II and III),Strikes/kicks,Takedown (IV),,,,,,0600-1159,Welfare Check,WELFARE CHECK - PRIORITY,,,December,,No weapon (unarmed),202461,North Precinct,10.088888889,,613529844,229795,Black,Male,Yes,37.988888889,613529844229795,Aggressive,Aggressive,Active,,,,,,Dispatched,Yes,,,2018
,III,Arrest-Felony,Saturday,,,,Takedown (IV),,,,,,,,1800-2359,Welfare Check,WELFARE CHECK - PRIORITY,,,December,,No weapon (unarmed),852231,North Precinct,1.291666667,,613529844,229795,Black,Male,Yes,38.155555556,613529844229795,Aggressive,,,,,,,,Dispatched,,,,2018
,III,Arrest-Felony,Saturday,,,,Takedown (IV),Control against Resistance,Control against Resistance,,,,,,0600-1159,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),673111,Central Precinct,2.845019026,,949538037,4045120,White,Male,Yes,34.653352359,9495380374045120,Aggressive,Aggressive,Aggressive,,,,,,Dispatched,,Yes,,2019
,III,Arrest-Felony,Saturday,Firearm,,,Control Against Resistance,,,,,,,,0000-0559,Traffic Stop,TRAFFIC STOP,,,October,,,490691,East Precinct,6.241666667,,144529099,585567,Black,Male,Unknown,24.366666667,144529099585567,Active,,,,,,,,Self-Initiated,Yes,,,2018
,III,Arrest-Felony,Saturday,Firearm,,,Control Against Resistance,,,,,,,,0000-0559,Traffic Stop,TRAFFIC STOP,,,October,,,519989,East Precinct,20.202777778,,144529099,585567,Black,Male,Unknown,24.366666667,144529099585567,Active,,,,,,,,Self-Initiated,Yes,,,2018
,III,Arrest-Felony,Saturday,Firearm,,,Control Against Resistance,Control Against Resistance,,,,,,,0000-0559,Traffic Stop,TRAFFIC STOP,,,October,,,916531,TOD,9.241666667,,144529099,556492,Black,Male,Unknown,24.366666667,144529099556492,Active,Active,,,,,,,Self-Initiated,Yes,,,2018
,III,Arrest-Felony,Saturday,Firearm,,,PFA,,,,,,,,0600-1159,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,February,,,955241,East Precinct,1.447579909,,701536054,443860,White,Male,Yes,29.811963470,701536054443860,Active,,,,,,,,Dispatched,,,,2019
,III,Arrest-Felony,Saturday,,Firearm - Implied,,Box-in VIS,,,,,,,,-,Stolen Vehicle,ROLLING STOLEN *H,,,December,,,991840,East Precinct,13.988711948,,183519979,599578,Black,Male,No,22.692821537,599578183519979,Active,,,,,,,,Self-Initiated,,,,2017
,III,Arrest-Felony,Saturday,,Firearm - Implied,,PFA,,,,,,,,-,Stolen Vehicle,ROLLING STOLEN *H,,,December,,,612800,TOD,13.816103501,,183519979,599578,Black,Male,No,22.692815830,599578183519979,Active,,,,,,,,Self-Initiated,,,,2017
,III,Arrest-Felony,Saturday,,Firearm - Implied,,PFA,,,,,,,,-,Stolen Vehicle,ROLLING STOLEN *H,,,December,,,849828,TOD,16.999665145,,183519979,599578,Black,Male,No,22.692815830,599578183519979,Active,,,,,,,,Self-Initiated,,,,2017
,III,Arrest-Felony,Saturday,,Firearm - Implied,,PIT - VIS,PFA,,,,,,,-,Stolen Vehicle,ROLLING STOLEN *H,,,December,,,191060,TOD,9.635285388,,183519979,599578,Black,Male,No,22.692819635,599578183519979,Active,Active,,,,,,,Self-Initiated,,,,2017
,III,Arrest-Felony,Saturday,,Firearm - Implied,,PIT - VIS,PFA,,,,,,,-,Stolen Vehicle,ROLLING STOLEN *H,,,December,,,191060,TOD,9.635285388,,183519979,547785,Black,Male,No,25.284600457,547785183519979,Active,Active,,,,,,,Self-Initiated,,,,2017
,III,Arrest-Misdemeanor,Saturday,,,,Aerosol rest.,,,,,,,,0000-0559,Disturbance,DISTURBANCE - PRIORITY,,,August,,No weapon (unarmed),351681,East Precinct,6.890768645,,335528481,601539,Asian,Male,No,28.320905632,335528481601539,Aggressive,,,,,,,,Dispatched,,,,2018
,III,Arrest-Misdemeanor,Saturday,,,,Aerosol rest.,,,,,,,,0600-1159,Assault,ASSAULT - PRIORITY,,,April,,No weapon (unarmed),950240,East Precinct,13,,425547022,500437,Black,Male,No,26,4.25547e+14,Aggressive,,,,,,,,Dispatched,,,,2020
